hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[3c,5d,2c,Ts,7h]",1,"[3c,5d,2c,Ts,7h]","[3c,5d,2c,Ts,7h]",man,0.3,1,0,0,draw,1000.0,0,0.0,500.0,,0101010,500.0,1000.0,0.0,1000.0,1000.0,0.0
"[7s,3d,8h,6h,Jd]",0,,,CNN_4,0.127637,0,4,5,check,1000.0,0,0.0,500.0,,0101010,500.0,0.0,0.0,0.0,0,0
"[3c,5d,2c,Ts,7h]",0,,,man,0.3,1,5,4,check,1000.0,0,0.0,500.0,0,01010100,500.0,1000.0,0.0,1000.0,1000.0,0.0
"[Qs,7h,3c,8c,7d]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,1100.0,0.0,1100.0,-1100.0,-100,-1000.0
"[Js,5s,Ts,Qd,Qc]",3,,,CNN_4,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,1100.0,2200.0,1100.0,1100.0,100.0,1000.0
"[Js,5s,Ts,Qd,Qc]",3,,,CNN_4,0.317917,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,1100.0,2200.0,1050.0,1150.0,150.0,1000.0
"[Qs,7h,3c,8c,7d]",3,,,man,0.3,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,1100.0,0.0,1000.0,-1000.0,-100.0,-900.0
"[Qs,7h,3c,8c,7d]",3,"[3c,8c,7d]","[3c,8c,7d,3h,5h]",man,0.3,0,0,0,draw,400.0,0,0.0,200.0,,10,1100.0,0.0,900.0,-900.0,0,-900.0
"[Js,5s,Ts,Qd,Qc]",3,[5s],"[5s,7c,4c,3s,6s]",CNN_4,0.317917,1,0,0,draw,400.0,0,0.0,200.0,,10,1100.0,2200.0,900.0,1300.0,400.0,900.0
"[3c,8c,7d,3h,5h]",2,,,man,0.3,0,3,1,bet_small,400.0,100.0,4.0,200.0,,10,1100.0,0.0,900.0,-900.0,-100.0,-800.0
"[5s,7c,4c,3s,6s]",2,,,CNN_4,0.401653,1,1,3,call_small,500.0,100.0,5.0,200.0,1,101,1100.0,2200.0,900.0,1300.0,500.0,800.0
"[3c,8c,7d,3h,5h]",2,"[8c,7d,3h,5h]","[8c,7d,3h,5h,As]",man,0.3,0,0,0,draw,600.0,0,0.0,300.0,,1010,1100.0,0.0,800.0,-800.0,0,-800.0
"[5s,7c,4c,3s,6s]",2,"[5s,7c,4c,3s]","[5s,7c,4c,3s,4d]",CNN_4,0.401653,1,0,0,draw,600.0,0,0.0,300.0,,1010,1100.0,2200.0,800.0,1400.0,600.0,800.0
"[8c,7d,3h,5h,As]",1,,,man,0.3,0,4,4,check,600.0,0,0.0,300.0,,1010,1100.0,0.0,800.0,-800.0,0,-800.0
"[5s,7c,4c,3s,4d]",1,,,CNN_4,0.312719,1,4,4,bet_big,600.0,200.0,3.0,300.0,0,10100,1100.0,2200.0,800.0,1400.0,600.0,800.0
"[8c,7d,3h,5h,As]",1,,,man,0.3,0,4,4,call_big,800.0,200.0,4.0,300.0,01,101001,1100.0,0.0,800.0,-800.0,-200.0,-600.0
"[8c,7d,3h,5h,As]",1,"[8c,7d,3h,5h]","[8c,7d,3h,5h,4h]",man,0.3,0,0,0,draw,1000.0,0,0.0,500.0,,1010010,1100.0,0.0,600.0,-600.0,0,-600.0
